county,coordinates,percpopbroad,percpopwobroad,pctdsgt15000kandlt25000k_hi,pctdsgt25000kandlt50000k_hi,pctdsgt50000kandlt100000k_hi,pctdsgt100000kandlt1gig_hi,pctdsgt1gig_hi,dsgteq25,usgteq3,povpct,unemployment,,,,,,
Carroll County,  (-81.08973346051543 40.57957200349352),52.3,47.7,47.7,0,52.2,0.1,0,52.3,52.3,13.5,7.6,,,,,,
Saline County,  (-93.20185127849163 39.13696633164325),62.2,37.8,31.6,6.2,62.2,0,0,68.4,62.5,16.3,5.5,,,,,,
Lee County,  (-84.14092773416303 31.7794297188029),88.9,11.1,11.1,0,0,88.9,0,88.9,100,11.8,7,,,,,,
Newton County,  (-94.33946171726558 36.90518568459575),56.4,43.6,26.1,19.4,43,8.8,2.6,73.9,56.7,14.3,5.6,,,,,,
White County,  (-85.45476978001281 35.92662264086599),72.8,27.2,27.2,0.2,0,72.5,0,72.8,100,21.9,11.2,,,,,,
Lee County,  (-89.29939756920507 41.746229053192884),63.7,36.3,32.1,4.4,0,63.5,0,67.9,100,10.9,9.2,,,,,,
Coleman County,  (-99.4528770617135 31.773196815221016),0,100,100,0,0,0,0,0,17.9,22.6,6,,,,,,
Marion County,  (-82.0566246326699 29.210282721883182),87.9,12.1,6,11,5.8,71,6.4,94,87.9,17.8,8.3,,,,,,
Jones County,  (-83.56057299081006 33.025459901876154),94,6,6,33.3,0,60.7,0,94,100,14.5,7.2,,,,,,
Heard County,  (-85.12848261630087 33.296853002164724),62.9,37.1,37.1,0,0,62.9,0,62.9,100,19,9.9,,,,,,
Raleigh County,  (-81.2487395259303 37.771267463498006),87.1,12.9,12.9,0,0,49.7,37.4,87.1,100,17.7,6.6,,,,,,
Barbour County,  (-85.39106786679507 31.87009041571544),49.4,50.6,47.7,3.2,48.2,0.9,0,52.3,100,25.4,10,,,,,,
Franklin County,  (-79.88106371328513 36.9918966052892),75,25,21.5,3.5,0.3,74.7,0,78.5,100,16.3,5.5,,,,,,
Andrews County,  (-102.63763481907881 32.30470528006827),97.5,2.5,1.7,81.9,0,0,16.4,98.3,97.6,10.7,3.7,,,,,,
Henry County,  (-91.5443443325476 40.98760853905418),83,17,17,20.4,0,58.8,3.9,83,93.6,13.3,5.6,,,,,,
Davis County,  (-112.11166068517512 40.99072955412234),96.8,3.2,2.9,0.9,0.7,86.4,9.2,97.1,100,7.2,4.2,,,,,,
Wahkiakum County,  (-123.42476012589952 46.29242200497472),0.9,99.1,99.1,0,0,0,0.9,0.9,3.8,13.9,11,,,,,,
Davison County,  (-98.14543667720024 43.67475842746742),91.1,8.9,8.8,7.2,8.5,75.5,0,91.2,91.1,12.3,3,,,,,,
Etowah County,  (-86.03476853946442 34.04518885566497),92.3,7.7,7.7,0.6,0,91.7,0,92.3,100,19,6.5,,,,,,
Covington city,  (-79.98671944092315 37.77830014173751),99.9,0.1,0.1,0,0,99.9,0,99.9,100,16.4,9,,,,,,
Chippewa County,  (-91.28017125143087 45.06921882349491),80.2,19.8,18.3,3.1,2.2,65.3,11.2,81.7,100,10.7,6.7,,,,,,
Dickens County,  (-100.77888550045972 33.6161682203937),0,100,100,0,0,0,0,0,3.6,22.1,8.5,,,,,,
Lawrence County,  (-90.10693379351662 31.54996743843325),0,100,100,0,0,0,0,0,100,22.3,9.4,,,,,,
King George County,  (-77.157231242932 38.27358126390303),92.2,7.8,7.8,0,90.1,2.1,0,92.2,100,7.5,6.3,,,,,,
Jackson County,  (-90.57403934400841 42.171784191567994),69.4,30.6,30.6,20.9,3.3,45.3,0,69.4,79.9,11.3,5.3,,,,,,
Todd County,  (-100.7186032536382 43.19336520116936),95.6,4.4,4.4,95.6,0,0,0,95.6,95.6,47.4,8.8,,,,,,
Medina County,  (-99.1103350765858 29.35546127433844),32.8,67.2,67.2,32.6,0,0,0.1,32.8,35.2,14.3,6,,,,,,
Jenkins County,  (-81.9635044910684 32.79247176106881),54.8,45.2,45.2,0,0,54.8,0,54.8,100,34.6,16.2,,,,,,
Gaston County,  (-81.1801484440388 35.294321384301924),100,0,0,0,85.8,14.1,0,100,100,16.7,8.8,,,,,,
Grundy County,  (-92.79146530237661 42.40195716251958),77.3,22.7,22.7,16.7,0.1,60.4,0,77.3,78.3,6.7,4.1,,,,,,
Carter County,  (-83.05045240189034 38.31813850566565),93.3,6.7,3.9,70.6,24.1,0,1.4,96.1,100,23.9,11.5,,,,,,
Henry County,  (-85.39654344123181 39.931125069298275),79.6,20.4,18,2.4,0,43.4,36.2,82,100,15.5,8.6,,,,,,
Wright County,  (-92.46949309563787 37.27078997742697),15.6,84.4,84.4,7.5,0,8.1,0,15.6,15.6,22.7,7.1,,,,,,
McDonough County,  (-90.6777554116872 40.456747224996626),94.8,5.2,5.2,0,2.4,23.9,68.6,94.8,100,23.6,8.1,,,,,,
Dallas County,  (-94.03970700509281 41.68489263704063),91,9,8.9,3.4,0,87.7,0,91.1,92.4,6.2,3.7,,,,,,
Burleson County,  (-96.62105771411942 30.49219575579754),3.5,96.5,96.5,0,0,0,3.5,3.5,100,16.2,6.1,,,,,,
Hamilton County,  (-82.94763283590285 30.49612932423177),94.5,5.5,5.5,85.4,0,9,0,94.5,94.5,31.7,8.8,,,,,,
Washington County,  (-88.20819418739273 31.407592480088834),13,87,87,0,0,13,0,13,100,18.5,10.2,,,,,,
Benton County,  (-123.42874297279538 44.49161156609432),98.7,1.3,1.3,13.1,0,85,0.6,98.7,98.7,18.9,5.8,,,,,,
Montgomery County,  (-86.20787705864629 32.2208941440232),97,3,3,0,0.6,96.4,0,97,100,22.5,6.9,,,,,,
Norman County,  (-96.45566227694243 47.326186215456),37.7,62.3,62.3,15.3,0,19.1,3.3,37.7,41.6,13.4,5.2,,,,,,
Rockcastle County,  (-84.31621512739376 37.36491192987616),91.8,8.2,8.2,52.5,37.3,0,1.9,91.8,100,24.1,8.1,,,,,,
Onslow County,  (-77.42736896827199 34.72975140650839),99.9,0.1,0.1,0,57.2,42.7,0,99.9,100,14.3,7.6,,,,,,
Rockingham County,  (-79.77527983933288 36.396214343886754),95.7,4.3,4.3,0,95.7,0,0,95.7,100,19.4,9.4,,,,,,
Wexford County,  (-85.57817740163982 44.338417675951206),69.1,30.9,30.9,0,0,69.1,0,69.1,69.1,19,12.1,,,,,,
Gladwin County,  (-84.38860113521018 43.990621216079816),34.9,65.1,64.4,0.9,0.4,34.3,0,35.6,34.9,18.5,12.6,,,,,,
Chatham County,  (-79.25545828974583 35.702662768937614),72.4,27.6,23.3,8.6,44.7,20.8,2.6,76.7,100,13.9,5.5,,,,,,
Dickson County,  (-87.35658414786748 36.14932156161561),74.9,25.1,25.1,0.2,0,74.7,0,74.9,100,14.3,7.3,,,,,,
Grant County,  (-84.6240738374542 38.64914530755513),78.8,21.2,21.2,0,78.8,0,0,78.8,100,16.9,7.4,,,,,,
Monroe County,  (-90.61820194737045 43.945762154703026),64,36,31.1,6.4,4.1,58.5,0,68.9,100,14.4,6.5,,,,,,
Hand County,  (-99.00538393020624 44.54798837570789),75.1,24.9,24.9,0.9,0,74.2,0,75.1,75.1,10,2.7,,,,,,
Elk County,  (-78.64916764906333 41.425487282884994),96.7,3.3,3.3,8.5,64.9,23.3,0,96.7,96.7,10.5,6.7,,,,,,
Abbeville County,  (-82.45872708711421 34.222694682299874),89.2,10.8,7.6,3.2,0,89.2,0,92.4,100,21.4,9,,,,,,
Pennington County,  (-96.0362745296877 48.06667710459787),79.4,20.6,20.6,0,0,79.4,0,79.4,90.3,9.3,5.7,,,,,,
Montgomery County,  (-84.29037840670578 39.75442102169476),99.8,0.2,0.2,0.1,99.7,0,0,99.8,99.8,19.7,8,,,,,,
Oktibbeha County,  (-88.87942679871675 33.42493737843474),73.6,26.4,26.4,0,73.6,0,0,73.6,100,29.9,8.6,,,,,,
Prince of Wales-Hyder Census Area,  (-133.05850955668626 55.81638031363517),0,100,100,0,0,0,0,0,79.6,17.4,,,,,,,
Gilpin County,  (-105.5221395290084 39.85721133522569),36.4,63.6,42.5,18.8,22,16.7,0,57.5,42.2,7.9,5.7,,,,,,
Person County,  (-78.97157730219186 36.3899975495991),91.5,8.5,7.1,88.8,4.2,0,0,92.9,100,18.7,8.8,,,,,,
Calhoun County,  (-81.11738243203585 38.84382602158504),0,100,100,0,0,0,0,0,100,21.8,9.8,,,,,,
Coffee County,  (-82.84967311137044 31.54918005125983),90.8,9.2,9.2,13.8,0,77,0,90.8,100,28.1,11.5,,,,,,
Uintah County,  (-109.51799595515102 40.12501567665006),45.9,54.1,54.1,0,0,45.9,0,45.9,100,9.6,3.6,,,,,,
Buckingham County,  (-78.52851210625226 37.57196671480732),0.3,99.7,91.4,8.3,0,0.3,0,8.6,100,22.8,7.2,,,,,,
Cameron County,  (-78.20384508151389 41.43674887738837),93,7,7,15.3,77.7,0,0,93,93,14.2,11,,,,,,
Taylor County,  (-80.04598162712777 39.335889224446056),48.5,51.5,51.5,0.1,14.2,33.1,1,48.5,100,16.8,5.5,,,,,,
Leslie County,  (-83.38100797220746 37.093988603747846),37.1,62.9,62.9,16.6,4,16.5,0,37.1,100,33,17.7,,,,,,
West Feliciana Parish,  (-91.42038292135838 30.880388479158466),0.5,99.5,99.5,0.5,0,0,0,0.5,100,24,7.8,,,,,,
Hill County,  (-97.13216714536298 31.990598759449313),100,0,0,76.4,23.5,0,0,100,100,21.8,6.2,,,,,,
Fayette County,  (-89.02441762767353 39.0000587032159),31.7,68.3,68.3,19,5.4,7.4,0,31.7,100,17.5,10.7,,,,,,
Hickman County,  (-88.9760507064374 36.67806432904534),38.9,61.1,61.1,7.6,25.7,0,5.6,38.9,100,18.4,8.3,,,,,,
Paulding County,  (-84.58018842110762 41.116742511257605),60.8,39.2,39.2,13.5,37.1,10.2,0,60.8,63.6,12.3,6.9,,,,,,
Putnam County,  (-84.13168547269454 41.02216768552812),67.9,32.1,32.1,0.3,67.6,0,0,67.9,100,7.8,6.3,,,,,,
Jackson County,  (-95.1540003139305 43.67418723392569),74,26,26,0,73.7,0.3,0,74,94,9.8,3.5,,,,,,
Cobb County,  (-84.57652963285021 33.94183775846073),96.3,3.7,3.7,0.1,0,96.2,0,96.3,100,13,7.1,,,,,,
Marion County,  (-80.24323834325175 39.51008054743449),85.3,14.7,14.7,0.2,39.8,44,1.4,85.3,100,17.9,5.6,,,,,,
Colorado County,  (-96.52613796483422 29.620805874480755),89.8,10.2,10.2,89.1,0.7,0,0,89.8,95.5,16,5.2,,,,,,
Yakutat City and Borough,  (-140.34918602285742 59.88824845409304),0,100,100,0,0,0,0,0,0,14.8,8.8,,,,,,
Ector County,  (-102.542942845172 31.8689887749663),77,23,23,0,14.3,62.7,0,77,91.1,12.8,4,,,,,,
Levy County,  (-82.74249558382671 29.319527675438167),12.2,87.8,75,15.7,2.5,6.7,0,25,12.2,21.2,8.1,,,,,,
Ouray County,  (-107.76930483725792 38.154984653732456),10.5,89.5,89,6,0.1,5,0,11,75,9.6,5.5,,,,,,
Pickens County,  (-84.46567238975467 34.464232088150645),89.6,10.4,10.4,8.7,78.2,2.7,0,89.6,100,12.3,7.5,,,,,,
Powell County,  (-83.82298076242549 37.83036747161419),0,100,100,0,0,0,0,0,100,26.7,10.1,,,,,,
Atascosa County,  (-98.52716291982964 28.89331114535184),89.2,10.8,10.8,77.7,11.6,0,0,89.2,90,16.9,6.2,,,,,,
Porter County,  (-87.06793187053441 41.46066332247984),95.6,4.4,4.2,0.1,0,95.6,0,95.8,100,10,7.4,,,,,,
Cumberland County,  (-75.11135484548987 39.3732395099279),93.8,6.2,6.2,0,0,93.8,0,93.8,93.8,19.5,12.2,,,,,,
Barry County,  (-93.82898627117501 36.70980207341594),48.3,51.7,51.7,14.8,0,31.6,2,48.3,48.3,20.2,5.8,,,,,,
Pittsburg County,  (-95.74895215527106 34.923865020647234),59.9,40.1,40.1,1.2,7.2,51.5,0,59.9,66.4,21.7,6,,,,,,
Oldham County,  (-102.60274213339643 35.40425707564282),11.3,88.7,88.7,11.3,0,0,0,11.3,11.3,15.6,4.9,,,,,,
Giles County,  (-80.70422241718062 37.31404444318081),67.1,32.9,32.9,0,0,50.8,16.4,67.1,100,13.5,6.7,,,,,,
Lipscomb County,  (-100.27329722806962 36.27778374565745),61.2,38.8,38.8,10.6,50.6,0,0,61.2,98.6,10.6,3.9,,,,,,
Williams County,  (-103.48012722063301 48.343731472938494),79.9,20.1,20.1,8.7,0,71.1,0,79.9,100,6.9,0.9,,,,,,
Ouachita Parish,  (-92.15486107925722 32.47822701693921),93.8,6.2,6.2,0,0,93.8,0,93.8,100,23.6,6.5,,,,,,
Sully County,  (-100.13185501957327 44.7154285072385),100,0,0,0,0,100,0,100,100,6.3,2.5,,,,,,
Harmon County,  (-99.84630188241358 34.744092887765994),57.6,42.4,14,28.4,57.6,0,0,86,90.2,24.8,4.3,,,,,,
Dade County,  (-85.50458951912384 34.85458428816813),84.4,15.6,15.6,0,0,70.2,14.2,84.4,100,16.4,7.1,,,,,,
Starke County,  (-86.64778869873625 41.28077021985453),59.4,40.6,36.6,4,4.4,54.9,0,63.4,100,15.5,9.1,,,,,,
Lawrence County,  (-87.31085380929314 34.5222368658913),59.8,40.2,40.2,0,0,59.7,0,59.8,100,16.6,7.3,,,,,,
Isabella County,  (-84.84664923425133 43.64060975828056),82.9,17.1,17.1,0,0,42.6,40.3,82.9,100,28.3,6.9,,,,,,
West Carroll Parish,  (-91.45664676413045 32.78885847066501),0,100,100,0,0,0,0,0,100,22.5,12.5,,,,,,
Carbon County,  (-106.93039161449138 41.69413999489881),71.3,28.7,28.5,71,0.4,0.1,0,71.5,77.3,12.3,4.5,,,,,,
Wheatland County,  (-109.84440119434159 46.46630384508846),41.1,58.9,58.9,0,41.1,0,0,41.1,100,19.5,4.7,,,,,,
Kershaw County,  (-80.5903513953191 34.33859234393047),78.6,21.4,21.4,5.1,73.5,0,0,78.6,100,17.4,6.7,,,,,,
Saguache County,  (-106.28097728019165 38.08034572306774),1.5,98.5,98.5,1.5,0,0,0,1.5,70.9,29.9,10.4,,,,,,
Charlotte County,  (-78.6616740120595 37.01175810210993),30.1,69.9,69.9,0,0,30.1,0,30.1,100,20.7,7.9,,,,,,
Worth County,  (-93.26085274418364 43.3774796386497),53.9,46.1,46.1,0,3.1,50.8,0,53.9,84.2,11,5,,,,,,
Boone County,  (-93.93139995128392 42.0366176996452),74.6,25.4,25.3,10.3,0,64.4,0,74.7,78.5,10.4,3.8,,,,,,
Adams County,  (-102.52853911013405 46.09690163857511),95.7,4.3,4.3,0.1,0,95.6,0,95.7,100,10.2,2.3,,,,,,
Scurry County,  (-100.91626563376968 32.7461456716683),77,23,23,0,60.6,0,16.4,77,99.8,14.1,3.9,,,,,,
Scott County,  (-84.5834466545386 38.29156707549337),84,16,16,0.6,83.4,0,0,84,100,10.9,6.7,,,,,,
Bradley County,  (-84.85962175724146 35.153690282401165),96.5,3.5,3.5,0,0,90.1,6.4,96.5,100,17.5,7.5,,,,,,
Granville County,  (-78.6530100015242 36.30365991962262),77.9,22.1,20.2,2.9,75.8,0,1.1,79.8,100,15.9,8.4,,,,,,
Bristol city,  (-82.15906969684048 36.618263780977564),100,0,0,0,0,0,100,100,100,21.8,7.8,,,,,,
Faulk County,  (-99.14535600726042 45.07082625057652),98.3,1.7,1.7,5.3,0,93,0,98.3,98.3,13.2,3.3,,,,,,
Garfield County,  (-117.54464764619058 46.431309850008084),0,100,100,0,0,0,0,0,87.5,14.2,7.7,,,,,,
Jones County,  (-89.168968998257 31.622577671962762),62.7,37.3,37.3,0,0,62.7,0,62.7,100,24.4,6.5,,,,,,
Humboldt County,  (-118.11181951239557 41.40638020119261),0,100,100,0,0,0,0,0,100,10.7,6,,,,,,
McCulloch County,  (-99.34743941015167 31.19888959674743),6.9,93.1,93.1,0,0,0.1,6.9,6.9,6.9,18.9,5.1,,,,,,
Jefferson County,  (-75.9312500568694 44.0479697298865),86.5,13.5,13.5,0.1,86.5,0,0,86.5,89.1,15.1,9.5,,,,,,
Limestone County,  (-96.58095443837117 31.545476698069304),4.5,95.5,95.5,4.5,0,0,0,4.5,70.7,19.6,6,,,,,,
Sutter County,  (-121.69461887021541 39.03464653518905),92,8,8,0,0,92,0,92,92,15.2,15.3,,,,,,
Christian County,  (-87.49033768522878 36.893910232364455),77.9,22.1,22.1,0.1,38.7,39.1,0,77.9,100,21.6,10.9,,,,,,
Sevier County,  (-111.80459882846071 38.74769426681335),56.3,43.7,42.6,1.6,55.5,0.3,0,57.4,100,12.1,5.2,,,,,,
Wheeler County,  (-82.72430717391698 32.116575771005316),52.4,47.6,47.6,52.4,0,0,0,52.4,100,38.9,9.4,,,,,,
Luce County,  (-85.54389048141496 46.47049979891347),0,100,100,0,0,0,0,0,0,20.6,10.8,,,,,,
Rock Island County,  (-90.56755378386605 41.467535086809335),95.5,4.5,4.5,0,0,95.5,0,95.5,100,16.3,7.9,,,,,,
Scott County,  (-90.62318821660969 41.63706130868715),96.6,3.4,3.4,0.4,0,95.9,0.3,96.6,98,12.2,5.9,,,,,,
Grayson County,  (-81.22507847028473 36.656617812752266),71.4,28.6,25.5,3.1,0,51.2,20.3,74.5,100,19.9,9.7,,,,,,
Ritchie County,  (-81.06312620658858 39.17806061543124),12.5,87.5,87.5,0,0,12.5,0,12.5,100,17.7,5.9,,,,,,
Kootenai County,  (-116.70003077669277 47.67446410410863),85.8,14.2,14.2,0,85.5,0,0.3,85.8,100,12.9,7.2,,,,,,
Whitley County,  (-85.50505208377093 41.13932767451804),59.4,40.6,39.2,1.5,3.2,56,0,60.8,100,9.4,6.8,,,,,,
Barry County,  (-85.30834519043108 42.5951398435169),31.7,68.3,68.3,1.2,0.3,30.2,0,31.7,36.4,10.2,6.9,,,,,,
Brown County,  (-90.75018804048885 39.961804933540314),43.2,56.8,56.8,43.1,0,0,0.1,43.2,100,14.2,4.7,,,,,,
Valdez-Cordova Census Area,  (-144.5019516458044 61.54964404214445),0,100,100,0,0,0,0,0,2.2,9.9,8.7,,,,,,
Johnson County,  (-81.85180572050103 36.454841072531714),93.5,6.5,6.5,0,0,89.1,4.4,93.5,100,26.4,9.9,,,,,,
Candler County,  (-82.07387018394698 32.4034500707663),46.4,53.6,53.6,0,0,46.4,0,46.4,100,29.1,9.9,,,,,,
Fayette County,  (-87.73924330637672 33.721172660054684),0,100,77.9,22.1,0,0,0,22.1,100,20.6,7.3,,,,,,
Jefferson County,  (-91.03631738791188 31.734036321015505),1.1,98.9,98.9,0,1.1,0,0,1.1,100,38.5,16.4,,,,,,
Drew County,  (-91.71972854624471 33.589574249892614),0.3,99.7,99,0.7,0,0.3,0,1,100,24,10.6,,,,,,
Harnett County,  (-78.86964364913239 35.3687290015629),98,2,1.3,0.9,6.1,91.6,0,98.7,100,20.5,9.2,,,,,,
Fremont County,  (-95.6047561793557 40.74556681524891),56.7,43.3,43.3,54.7,0,2,0,56.7,67.6,11.7,4.2,,,,,,
Boundary County,  (-116.46275248002762 48.76699799905249),64.2,35.8,35.8,64.2,0,0,0,64.2,100,16.7,9,,,,,,
Murray County,  (-97.06798798155165 34.48236467742149),60.1,39.9,39.6,0.1,60.2,0,0,60.4,60.1,15.1,3.7,,,,,,
Banks County,  (-83.49753835073084 34.35397657230283),95.5,4.5,4.5,84.8,0,10.8,0,95.5,100,16.9,6.3,,,,,,
Monroe County,  (-92.86906670095681 41.02988814985067),84.4,15.6,15.6,23.3,0.1,60.9,0,84.4,84.4,11.7,5.2,,,,,,
Amherst County,  (-79.14517223313325 37.60543547773671),68.2,31.8,31.8,0,0,68.2,0,68.2,100,13.7,6.3,,,,,,
District of Columbia,  (-77.01629654382742 38.90478149183162),98.3,1.7,1.7,0,0,98.3,0,98.3,100,18.4,8.3,,,,,,
Jackson County,  (-85.99947584433066 34.77954231326833),87.3,12.7,10.9,1.8,36.3,51.1,0,89.1,100,22,6.3,,,,,,
Rensselaer County,  (-73.50952677977293 42.71103722085465),96.9,3.1,3.1,4,92.3,0,0.6,96.9,98.3,13,6.8,,,,,,
Calhoun County,  (-92.50253375947362 33.557863877516404),3.5,96.5,96.5,3.5,0,0,0,3.5,100,18,9.1,,,,,,
McIntosh County,  (-99.44146009801786 46.1118053397381),100,0,0,0,0,100,0,100,100,13,3,,,,,,
Brown County,  (-99.92949607892126 42.43016331008024),15.1,84.9,84.9,0,15.1,0,0,15.1,23.8,12.8,3,,,,,,
Sanborn County,  (-98.09105658381613 44.02345806919418),91.3,8.7,8.7,89.8,0,1.4,0,91.3,100,14.7,2.9,,,,,,
Lebanon County,  (-76.45759103694228 40.36716938051793),95.6,4.4,4.4,0.1,0,94.2,1.3,95.6,95.6,10.9,6,,,,,,
New Hanover County,  (-77.88474374539085 34.23228579780647),99.9,0.1,0.1,0,81.7,18.2,0,99.9,100,18,7.8,,,,,,
Penobscot County,  (-68.64952115425153 45.400381493793994),77.6,22.4,22.4,1.7,62.6,13.3,0,77.6,78,18,7,,,,,,
St. Lawrence County,  (-75.06907697617052 44.49647794033308),87.8,12.2,12.1,0.1,68,19.9,0,87.9,88.1,18.9,9.3,,,,,,
Martin County,  (-82.51414497264732 37.800907179888526),48.2,51.8,51.8,0,0,16.9,31.4,48.2,100,40.6,11.6,,,,,,
Geneva County,  (-85.83932953345438 31.09486905064942),43.5,56.5,56.3,5.9,37.7,0.2,0,43.7,100,23.9,6.5,,,,,,
Salt Lake County,  (-111.92410281015667 40.667288129948915),98.2,1.8,1.5,0.4,0.2,88.7,9.2,98.5,100,11.9,4.2,,,,,,
Luzerne County,  (-75.98893637519183 41.17686973206568),94.5,5.5,5.5,0.1,8.5,27,58.9,94.5,94.5,15.8,9.3,,,,,,
Effingham County,  (-88.58969702607061 39.05935691074574),62.5,37.5,37.5,0,0,62.5,0,62.5,100,11.8,7.5,,,,,,
Pennington County,  (-102.82396593637593 44.00397448899081),93.9,6.1,6,3.8,3.5,86.6,0,94,94.1,14.1,3.8,,,,,,
Union Parish,  (-92.37483419720006 32.831862856635816),2.5,97.5,95.5,2,0,2.5,0,4.5,100,22,6.7,,,,,,
Petersburg city,  (-77.39262050307175 37.204041528915276),96.3,3.7,3.7,0,0,96.3,0,96.3,100,25.8,10,,,,,,
Nez Perce County,  (-116.7498103839806 46.32729495311265),85.9,14.1,14.1,0.6,65.7,19.6,0,85.9,100,14.6,5.4,,,,,,
Gray County,  (-100.81292223381114 35.400818779902565),82.5,17.5,17.5,0,82.4,0,0,82.5,99.8,14.2,4.5,,,,,,
Reynolds County,  (-90.96899002267084 37.36244863842867),33.9,66.1,66.1,2.3,0.9,30.7,0,33.9,33.9,21.5,9,,,,,,
Washington County,  (-82.79573433114369 32.969585443886245),52.6,47.4,47.4,0.1,0,52.5,0,52.6,100,30.2,10.8,,,,,,
Prairie County,  (-105.37802307745918 46.86049013326379),0,100,100,0,0,0,0,0,100,12.3,4.4,,,,,,
Columbia County,  (-73.63186276039183 42.25016297174943),61.8,38.2,16.1,58.9,23.9,1.1,0,83.9,68.1,11.6,6.3,,,,,,
Erie County,  (-78.73230752927854 42.76409997537921),99.2,0.8,0.8,0,54.7,44.5,0,99.2,99.2,15.2,7.4,,,,,,
Grant County,  (-79.1958430465116 39.10496268273173),45.5,54.5,54.5,0,0,45.5,0,45.5,100,17,9.5,,,,,,
Leon County,  (-95.9957024962598 31.29628413434812),60.2,39.8,39.8,60.2,0,0,0,60.2,74.1,13.5,6.1,,,,,,
Crittenden County,  (-90.30924635454794 35.207621719051886),80.4,19.6,19.6,0,0.9,79.4,0.2,80.4,100,27.3,10.8,,,,,,
Escambia County,  (-87.1617605554106 31.12613571266559),60.7,39.3,39.3,0,4.4,56.3,0,60.7,100,25.1,8,,,,,,
Woods County,  (-98.86351819447707 36.76674111651952),79.3,20.7,19.6,1.4,69.9,0,9,80.4,79.3,14.3,3.3,,,,,,
Clackamas County,  (-122.22055435955431 45.18820387118593),91.5,8.5,8.3,1,1.1,80.4,9.2,91.7,91.9,9.5,6.8,,,,,,
Rio Blanco County,  (-108.21726284335509 39.97993244745733),82.2,17.8,17.8,82.2,0,0,0,82.2,82.2,10.9,5.4,,,,,,
East Feliciana Parish,  (-91.04553924791016 30.845160298828755),8.9,91.1,91.1,0.2,0,8.7,0,8.9,100,20.4,6.9,,,,,,
Laurel County,  (-84.1176507983328 37.11047425364058),99.1,0.9,0.9,5.8,93,0,0.3,99.1,100,24.7,9.2,,,,,,
Hot Spring County,  (-92.94560125401482 34.31751189193324),50.1,49.9,49.8,6.3,3.6,36.3,4,50.2,100,18.7,7.3,,,,,,
Summit County,  (-106.11633626505069 39.634203523964025),86.9,13.1,12.7,1.3,0.1,86,0,87.3,87.7,9.7,5.8,,,,,,
Dawson County,  (-84.1707338512118 34.44409815078611),87.4,12.6,12.6,83.8,1.7,1.9,0,87.4,100,11.8,6.7,,,,,,
Floyd County,  (-85.2144080072537 34.263151130824006),89.5,10.5,10.5,0.5,0,89,0,89.5,100,21.1,8.8,,,,,,
Harrison County,  (-81.09149874075186 40.293561930743664),17.6,82.4,79.8,8,2.6,9.6,0,20.2,17.6,16.9,7.6,,,,,,
Montgomery County,  (-93.6594452321215 34.538881359343954),74.2,25.8,25.8,72.4,0,0,1.8,74.2,100,20.1,8,,,,,,
Henry County,  (-85.11897835045554 38.44849046447435),65.6,34.4,34.4,0,65.6,0,0,65.6,100,18.3,8.4,,,,,,
White County,  (-88.18016372029028 38.087144453384845),24.9,75.1,75.1,14.7,10.2,0,0,24.9,100,14.1,8.1,,,,,,
Otsego County,  (-84.59972827981534 45.02079452305373),73.5,26.5,26.5,0.7,0,72.8,0,73.5,86.5,13.2,11.1,,,,,,
Gilmer County,  (-80.85664592594695 38.92492424462951),34.5,65.5,65.5,0,0,34.5,0,34.5,100,28.9,5.8,,,,,,
Alger County,  (-86.60408109032421 46.40902030655098),74.6,25.4,25.4,10.2,0,64.4,0,74.6,74.6,15.5,11,,,,,,
Spencer County,  (-85.3291091874626 38.03276996378031),73.3,26.7,26.7,1.7,71.6,0,0,73.3,100,8.8,7.1,,,,,,
Okmulgee County,  (-95.96434122757843 35.64662667378316),60.3,39.7,39.7,7.6,37.9,7.6,7.2,60.3,67.7,21.5,7.6,,,,,,
Muskogee County,  (-95.37949186508914 35.61612948140813),69.7,30.3,30.3,2.9,8.9,41.7,16.1,69.7,69.7,22.2,6.5,,,,,,
Kankakee County,  (-87.86189196734591 41.13747976279561),90.9,9.1,9.1,0,0,62.2,28.8,90.9,100,14.7,11.3,,,,,,
Potter County,  (-77.89566562918276 41.74480516895181),70.5,29.5,29.5,0,62.2,0.1,8.2,70.5,70.5,14.3,9.4,,,,,,
Marshall County,  (-96.76917298308943 34.02458841081179),30.2,69.8,69.8,0,30.2,0,0,30.2,30.2,18,6,,,,,,
Lincoln County,  (-84.66076387751072 37.45485593969872),68.1,31.9,31.9,19.4,48.8,0,0,68.1,100,27.6,11.1,,,,,,
Holmes County,  (-85.8142486373002 30.86794621571858),25.2,74.8,63.5,11.3,0.2,25,0,36.5,25.2,26.7,6.1,,,,,,
Cheboygan County,  (-84.5006561087795 45.447012645591435),60.4,39.6,39.6,0.8,0,59.6,0,60.4,67.1,16.1,11.8,,,,,,
Lexington County,  (-81.27229852989181 33.902172810784336),89.9,10.1,10.1,0.6,89.2,0,0,89.9,100,13.8,5.8,,,,,,
Haywood County,  (-89.28418691622608 35.583134052482684),68.2,31.8,31.8,60.1,0,4.8,3.3,68.2,100,24.7,11.8,,,,,,
Branch County,  (-85.05923474850886 41.915889038130366),67.3,32.7,32.7,0,0,67.3,0,67.3,100,15.2,8.5,,,,,,
Crittenden County,  (-88.09694437718491 37.352574851791545),57.6,42.4,42.4,2.8,0,54.9,0,57.6,100,20.3,7.7,,,,,,
